XData,YData1,YData2,YData3,YData4
0.0001,0.999999754042097,0.499999756477324,1,0.5
0.0011,0.999970239850779,0.499970534508559,0.99993,0.49993
0.0021,0.999891542680821,0.499892616553343,0.999735,0.499738
0.0031,0.99976368254785,0.499766022503498,0.999416,0.499422
0.0041,0.999586691967372,0.499590784673367,0.998973,0.498983
0.0051,0.999360615940651,0.499366947785731,0.998405,0.498421
0.0061,0.999085511935181,0.49909456895232,0.997714,0.497737
0.0071,0.998761449859743,0.498773717648929,0.9969,0.496931
0.0081,0.998388512034082,0.498404475685172,0.995964,0.496004
0.0091,0.997966793153225,0.497986937168869,0.994905,0.494956
0.0101,0.997496400246448,0.497521208465123,0.993725,0.493788
0.0111,0.996977452630937,0.497007408150078,0.992425,0.4925
0.0121,0.996410081860172,0.496445666959424,0.991005,0.491094
0.0131,0.995794431667057,0.495836127731668,0.989466,0.489571
0.0141,0.995130657901854,0.495178945346199,0.987809,0.48793
0.0151,0.994418928464949,0.494474286656222,0.986035,0.486174
0.0161,0.993659423234497,0.493722330416568,0.984146,0.484304
0.0171,0.992852333989011,0.492923267206464,0.982142,0.48232
0.0181,0.991997864324921,0.49207729934729,0.980025,0.480224
0.0191,0.991096229569187,0.491184640815391,0.977796,0.478018
0.0201,0.990147656687007,0.490245517150012,0.975457,0.475702
0.0211,0.989152384184688,0.489260165356392,0.973008,0.473278
0.0221,0.988110662007749,0.488228833804114,0.970452,0.470748
0.0231,0.98702275143432,0.48715178212076,0.967791,0.468113
0.0241,0.985888924963917,0.486029281080945,0.965024,0.465375
0.0251,0.984709466201652,0.484861612490819,0.962156,0.462535
0.0261,0.983484669737983,0.483649069068092,0.959186,0.459596
0.0271,0.982214841024051,0.482391954317686,0.956118,0.456558
0.0281,0.980900296242717,0.481090582403085,0.952953,0.453426
0.0291,0.979541362175374,0.479745278013463,0.949692,0.450198
0.0301,0.978138376064614,0.478356376226703,0.946338,0.446879
0.0311,0.976691685472858,0.476924222368368,0.942893,0.443469
0.0321,0.975201648137033,0.47544917186674,0.939359,0.439971
0.0331,0.973668631819395,0.47393159010402,0.935738,0.436388
0.0341,0.972093014154592,0.472371852263771,0.932031,0.43272
0.0351,0.970475182493083,0.470770343174735,0.928243,0.428971
0.0361,0.96881553374099,0.469127457151091,0.924374,0.425142
0.0371,0.967114474196515,0.467443597829292,0.920426,0.421235
0.0381,0.965372419383013,0.465719178001568,0.916404,0.417255
0.0391,0.963589793878833,0.463954619446202,0.912307,0.413201
0.0401,0.961767031144036,0.462150352754708,0.908139,0.409077
0.0411,0.959904573344111,0.460306817156005,0.903902,0.404885
0.0421,0.958002871170786,0.458424460337705,0.899599,0.400627
0.0431,0.956062383660071,0.456503738264633,0.895232,0.396307
0.0441,0.954083578007624,0.454545114994699,0.890803,0.391924
0.0451,0.952066929381578,0.452549062492224,0.886316,0.387485
0.0461,0.950012920732946,0.450516060438861,0.881771,0.38299
0.0471,0.947922042603703,0.44844659604221,0.877173,0.37844
0.0481,0.945794792932696,0.446341163842258,0.872523,0.373841
0.0491,0.94363167685948,0.44420026551577,0.867823,0.369191
0.0501,0.941433206526217,0.442024409678737,0.863078,0.364498
0.0511,0.939199900877744,0.439814111687024,0.858287,0.35976
0.0521,0.936932285459958,0.43756989343532,0.853456,0.354982
0.0531,0.934630892216621,0.43529228315454,0.848586,0.350165
0.0541,0.932296259284709,0.432981815207771,0.843678,0.345311
0.0551,0.929928930788451,0.430639029884913,0.838738,0.340426
0.0561,0.927529456632158,0.428264473196131,0.833765,0.335508
