XData,YData1,YData2,YData3,YData4
0.2841,-0.423234525594441,-0.499677532447383,-0.201227,-0.224502
0.2851,-0.423300361377286,-0.499638179328683,-0.195239,-0.217763
0.2861,-0.423365710511816,-0.499595345953772,-0.189185,-0.210956
0.2871,-0.423430372507157,-0.49954883580488,-0.183065,-0.204081
0.2881,-0.423494141774156,-0.49949844737696,-0.176881,-0.197139
0.2891,-0.423556807671426,-0.499443974223684,-0.170636,-0.190136
0.2901,-0.423618154552882,-0.499385205004919,-0.164329,-0.183068
0.2911,-0.423677961816758,-0.499321923535689,-0.157966,-0.175941
0.2921,-0.423736003956134,-0.499253908836645,-0.151545,-0.168755
0.2931,-0.42379205061098,-0.499180935186043,-0.145071,-0.161515
0.2941,-0.42384586662174,-0.499102772173268,-0.138545,-0.15422
0.2951,-0.423897212084456,-0.499019184753892,-0.131969,-0.146874
0.2961,-0.423945842407461,-0.498929933306299,-0.125346,-0.139479
0.2971,-0.423991508369651,-0.498834773689885,-0.118676,-0.132037
0.2981,-0.424033956180341,-0.498733457304846,-0.111964,-0.12455
0.2991,-0.424072927540727,-0.498625731153564,-0.105211,-0.117022
0.3001,-0.424108159706972,-0.498511337903612,-0.0984193,-0.109453
0.3011,-0.424139385554911,-0.498390015952388,-0.0915918,-0.101848
0.3021,-0.424166333646411,-0.498261499493386,-0.0847299,-0.0942067
0.3031,-0.424188728297378,-0.498125518584124,-0.0778379,-0.0865347
0.3041,-0.424206289647436,-0.497981799215734,-0.0709164,-0.0788323
0.3051,-0.424218733731282,-0.497830063384228,-0.0639684,-0.0711026
0.3061,-0.424225772551731,-0.497670029163455,-0.0569978,-0.0633496
0.3071,-0.424227114154469,-0.49750141077975,-0.0500048,-0.0555735
0.3081,-0.4242224627045,-0.497323918688298,-0.0429935,-0.0477786
0.3091,-0.424211518564331,-0.497137259651207,-0.0359661,-0.0399671
0.3101,-0.424193978373873,-0.496941136817315,-0.028926,-0.0321424
0.3111,-0.424169535132085,-0.496735249803723,-0.0218745,-0.0243061
0.3121,-0.424137878280358,-0.496519294779072,-0.0148147,-0.0164611
0.3131,-0.424098693787654,-0.496292964548575,-0.00775012,-0.00861129
0.3141,-0.424051664237399,-0.496055948640791,-0.000681918,-0.000757687
0.3151,-0.423996468916143,-0.495807933396165,0.00638651,0.00709615
0.3161,-0.423932783903975,-0.495548602057336,0.0134519,0.0149469
0.3171,-0.423860282166726,-0.4952776348612,0.0205129,0.0227929
0.3181,-0.42377863364993,-0.494994709132756,0.0275663,0.0306313
0.3191,-0.423687505374567,-0.494699499380713,0.0346093,0.038459
0.3201,-0.42358656153458,-0.494391677394876,0.0416388,0.0462726
0.3211,-0.423475463596168,-0.494070912345306,0.0486535,0.0540711
0.3221,-0.423353870398852,-0.493736870883239,0.0556499,0.0618507
0.3231,-0.423221438258318,-0.493389217243791,0.0626253,0.0696086
0.3241,-0.423077821071023,-0.493027613350415,0.0695777,0.0773428
0.3251,-0.422922670420569,-0.492651718921124,0.0765046,0.0850508
0.3261,-0.422755635685836,-0.492261191576472,0.0834032,0.0927297
0.3271,-0.422576364150868,-0.491855686949281,0.0902702,0.100376
0.3281,-0.4223845011165,-0.49143485879611,0.0971051,0.107989
0.3291,-0.42217969001373,-0.490998359110453,0.103904,0.115565
0.3301,-0.421961572518803,-0.490545838237663,0.110664,0.123101
0.3311,-0.42172978867002,-0.490076944991587,0.117385,0.130596
0.3321,-0.421483976986242,-0.489591326772888,0.124062,0.138047
0.3331,-0.421223774587084,-0.489088629689062,0.130695,0.145451
0.3341,-0.420948817314776,-0.488568498676113,0.13728,0.152806
0.3351,-0.420658739857678,-0.488030577621883,0.143816,0.160112
